feature,importance_gain,importance_split
NEW_INC_PER_CHLD,262.6172784527143,44.13333333333334
prev_sum_NAME_YIELD_GROUP_high,448.5520367950201,43.66666666666667
prev_sum_DAYS_TERMINATION,310.87605995933217,43.46666666666666
prev_approved_AMT_DOWN_PAYMENT_MEAN,283.8737794638301,43.13333333333333
NEW_DOC_IND_KURT,1375.6875280777613,42.8
prev_sum_AMT_DIFF_CREDIT_GOODS,308.9581814693908,42.66666666666667
pos_recent_MONTHS_BALANCE,555.7069165080786,42.66666666666667
prev_refused_DAYS_DECISION_MEAN,262.6004777068893,42.666666666666664
prev_score_sum,246.341201445212,42.4
FLAG_OWN_REALTY_income_median_rel,275.8017763699094,42.06666666666667
inst_DAYS_LAST_UNDERPAID,282.1568047516048,41.66666666666667
prev_max_AMT_DOWN_PAYMENT,287.80752313286064,41.66666666666667
prev_avg_AMT_DIFF_CREDIT_GOODS,295.23502064775676,41.6
prev_approved_APP_CREDIT_PERC_MEAN,249.59965101877847,41.53333333333333
prev_sum_AMT_PAY_YEAR,272.55220087456206,41.33333333333333
Total_active_acc,358.33133719563483,41.2
prev_active_sum_AMT_ANNUITY,337.38866801640637,41.13333333333334
NAME_INCOME_TYPE,1031.5896028876305,41.0
AMT_ANNUITY_to_prev_refused,307.5148097236951,41.0
prev_sum_AMT_DIFF_CREAPP,264.7518000824998,40.733333333333334
OBS_60_CNT_SOCIAL_CIRCLE,236.8240381519,40.4
GENDER_FAMILY_STATUS_income_median_rel,234.80070793516933,40.333333333333336
prev_recent_NAME_TYPE_SUITE,200.02713605165482,40.13333333333333
prev_recent_AMT_CREDIT_GOODS_PERC,228.61838061343877,40.13333333333333
bureau_min_MONTH_LAST_C,327.4318237543106,40.06666666666667
prev_refused_DAYS_DECISION_MIN,263.8435015092294,40.06666666666667
prev_max_DAYS_FIRST_DRAWING,289.4881536861261,40.0
AMT_CREDIT_GOODS_PERC_to_prev_refused,225.8818652351697,39.93333333333334
prev_max_AMT_DIFF_CREDIT_GOODS,314.7043121521672,39.93333333333333
cc_max_AMT_BALANCE_CREDIT_RATIO,678.6138265689214,39.86666666666667
bureau_sum_AMT_MAX_OVERDUE_RATIO,257.15215448041755,39.86666666666666
bureau_recent_AMT_CREDIT_MAX_OVERDUE,309.8490831613541,39.733333333333334
prev_recent_AMT_DIFF_CREDIT_GOODS,217.39542954415083,39.333333333333336
NONLIVINGAREA_MEDI,222.40323879445592,39.06666666666667
prev_avg_DAYS_FIRST_DRAWING,254.72893312474088,39.0
YEARS_BUILD_MODE,287.0129176129897,38.733333333333334
FLAG_OWN_CAR_income_median_rel,248.92776121124626,38.666666666666664
prev_recent_AMT_CREDIT,216.8071514745553,38.33333333333333
CODE_GENDER_income_median_rel,258.88103828827536,37.93333333333334
bureau_active_count,374.7912408043941,36.86666666666666
COMMONAREA_MEDI,212.9912128905455,36.53333333333333
prev_approved_AMT_DIFF_CREAPP_MEAN,206.37415482581906,36.2
prev_sum_DAYS_END_DIFF,268.5671982947737,35.93333333333334
prev_active_sum_AMT_LEFT3,184.9414779971043,35.86666666666666
prev_recent_DAYS_LAST_DUE_1ST_VERSION,222.3856796296934,35.8
AMT_DIFF_CREDIT_GOODS_to_prev_refused,210.39195612917342,35.733333333333334
Total_AMT_LEFT,195.77547974636155,35.6
prev_sum_RATE_DOWN_PAYMENT,290.6741773277521,35.33333333333333
prev_sum_AMT_DOWN_PAYMENT,337.1390807792544,35.13333333333333
pos_MONTH_LAST_DPD,210.9323592444261,35.0
prev_recent_PRODUCT_COMBINATION,217.92578811844191,34.6
prev_refused_CNT_PAYMENT_SUM,304.5980176130931,34.4
prev_refused_AMT_DIFF_CREAPP_MAX,268.8455060631037,34.2
pos_recent_CNT_INSTALMENT,211.4678848952055,33.93333333333334
bureau_active_sum_AMT_CREDIT_MAX_OVERDUE,241.80045134623848,33.8
prev_recent_NAME_SELLER_INDUSTRY,348.92497404416406,33.53333333333334
prev_recent_NAME_YIELD_GROUP,349.10572210947674,33.53333333333333
bureau_active_avg_AMT_CREDIT_SUM_LIMIT,222.4171201646328,33.4
bureau_sum_CREDIT_ACTIVE_Closed,297.0699947396914,33.266666666666666
FLAG_DOCUMENT_3,816.3907427151997,33.266666666666666
prev_sum_CNT_PAYMENT,234.7068888410926,32.93333333333334
pos_sum_SK_DPD_SCALE,217.61976980119942,32.8
prev_active_sum_AMT_CREDIT_GOODS_PERC,181.44598138804236,32.666666666666664
inst_mean_AMT_PAYMENT_DIFF_SCALE,273.58722897867364,32.46666666666667
LIVINGAPARTMENTS_MODE,211.11594039102397,32.13333333333333
